epoch,step,test_r2,test_racc,train_loss,train_r2,train_racc,valid_loss,valid_r2,valid_racc
0,9,,,0.8660757573077379,,0.6515521172001248,,,
0,19,,,0.6261166159029221,,0.7135030999437499,,,
0,29,,,0.4541913952743203,,0.7788936665126004,,,
0,39,,,0.382358886432261,,0.7946959528829018,,,
0,49,,,0.31187104664562487,,0.8290905373342398,,,
0,59,,,0.37687062136060756,,0.8018352386205263,,,
0,69,,,0.2600856722267141,,0.8453281828097012,,,
0,79,,,0.29181019129884844,,0.8295798041433077,,,
0,89,,,0.23613390224384098,,0.8586486771280255,,,
0,99,,,0.31881280194715866,,0.821996559515266,,,
0,109,,,0.23563176472581837,,0.8558019358258349,,,
0,119,,,0.23947415096533492,,0.8574386927927954,,,
0,129,,,0.2742184469739806,,0.84247897244711,,,
0,139,,,0.21918020271894734,,0.8624744278451203,,,
0,149,,,0.21088826371574387,,0.8700075258410521,,,
0,159,,,0.18313356870059003,,0.8808023154381973,,,
0,169,,,0.2673744195932377,,0.8407970874208368,,,
0,179,,,0.21118958910470154,,0.864227701673262,,,
0,189,,,0.18800114235726928,,0.8773223294399006,,,
0,199,,,0.20834944152284468,,0.8698131043976467,,,
0,209,,,0.20038309196210097,,0.8709283206877451,,,
0,219,,,0.1929659597236949,,0.8778123229597947,,,
0,229,,,0.2574706242223965,,0.8476958519825868,,,
0,239,,,0.1919803185359787,,0.8772741435739321,,,
0,249,,,0.2385017075114393,,0.8536689318272019,,,
0,259,,,0.2715350016251846,,0.8447544150955009,,,
0,269,,,0.22107555301113938,,0.8628498857697978,,,
0,279,,,0.12709860726385228,,0.9103132148114221,,,
0,289,,,0.24187374641438342,,0.853388021490644,,,
0,299,,,0.2188335338163298,,0.8640583276076277,,,
0,309,,,0.17572750073691196,,0.8830485324421026,,,
0,319,,,0.26412692581825414,,0.8395842346852045,,,
0,329,,,0.27009326431957775,,0.8403759489790411,,,
0,339,,,0.14536117385869823,,0.8995240781418683,,,
0,349,,,0.20707751090093326,,0.8738938930333011,,,
0,359,,,0.15420449859536173,,0.8939885711572487,,,
0,369,,,0.15876332730882142,,0.8931084870733046,,,
0,374,,,,,,0.17815478146076202,-0.03773321583867073,0.8835495114326477
0,374,,,0.14923197031021118,-0.8159015774726868,0.8455342650413513,,,
1,379,,,0.18607442403289354,,0.8778190541582984,,,
1,389,,,0.15055330004348297,,0.8990899620517593,,,
1,399,,,0.1354108771365702,,0.9038778007406544,,,
1,409,,,0.17607728490223276,,0.885477016495481,,,
1,419,,,0.189875388041588,,0.873096529586034,,,
1,429,,,0.1386195931166816,,0.9035275280111845,,,
1,439,,,0.16327015602340755,,0.8896126742295258,,,
1,449,,,0.1442828011177546,,0.9004948538287069,,,
1,459,,,0.18573688416726414,,0.879283969963908,,,
1,469,,,0.23476225523403585,,0.8653196630993824,,,
1,479,,,0.17104160191568354,,0.8879303183819668,,,
1,489,,,0.1412301345569459,,0.903200966985767,,,
1,499,,,0.22186523657404095,,0.8672164946162192,,,
1,509,,,0.13356473971314642,,0.9046365416332632,,,
1,519,,,0.17245547541708567,,0.88529408176022,,,
1,529,,,0.16066985315730142,,0.8922008824123095,,,
1,539,,,0.14788360128019074,,0.9001979331656992,,,
1,549,,,0.15978496689067562,,0.8920074869263763,,,
1,559,,,0.21020113850865013,,0.8667329196290017,,,
1,569,,,0.12623730725942559,,0.9141294014492469,,,
1,579,,,0.1700445454623523,,0.8902923935354204,,,
1,589,,,0.18323890005876886,,0.8801650610353833,,,
1,599,,,0.18077162726185286,,0.8799052130597209,,,
1,609,,,0.1642711400732356,,0.8889484752261305,,,
1,619,,,0.17088717287903366,,0.8879246384074767,,,
1,629,,,0.1847541185928858,,0.8799091749056711,,,
1,639,,,0.18436208795557113,,0.8818648199686774,,,
1,649,,,0.14816604145773932,,0.8996478091761374,,,
1,659,,,0.18213300847552233,,0.8803846860704118,,,
1,669,,,0.14491145801174052,,0.9015305924565711,,,
1,679,,,0.20375422468682267,,0.8740284570458349,,,
1,689,,,0.17849309699726684,,0.8845674118390046,,,
1,699,,,0.1928325857534674,,0.8758369469785612,,,
1,709,,,0.12145398182764383,,0.9128677556111194,,,
1,719,,,0.18802062328655228,,0.8779108621608045,,,
1,729,,,0.18850528011839163,,0.8764243952314945,,,
1,739,,,0.1645859547565335,,0.8860205562470717,,,
1,749,,,0.14564420559699542,,0.8992775136556177,,,
1,749,,,,,,0.1589123010635376,0.12491223961114883,0.8931714296340942
1,749,,,0.1456442028284073,0.06855089962482452,0.8863241076469421,,,
2,759,,,0.13322189499234877,,0.9062678424998056,,,
2,769,,,0.1469708127202152,,0.9006734124957337,,,
2,779,,,0.1660874845918412,,0.8897113972421882,,,
2,789,,,0.13660509735417978,,0.9040839638303924,,,
2,799,,,0.15088249251296162,,0.8964249624292475,,,
2,809,,,0.1730927843310241,,0.8839869938674544,,,
2,819,,,0.17495280798746596,,0.8820302541090634,,,
2,829,,,0.1411289099054009,,0.9029018111759358,,,
2,839,,,0.14796488046952444,,0.9004135985834856,,,
2,849,,,0.16439130370587962,,0.893620824306351,,,
2,859,,,0.14301497512529066,,0.9015912533693899,,,
2,869,,,0.1517030904406197,,0.896639499826418,,,
