Model A,Model B,Metric,Mean Difference,CI Lower,CI Upper,p-value,Bonferroni p-value,Direction,Decision
OOB_MulT,OOB_LinMulT,R_acc,0.00017450707107216333,-0.003944458481017288,0.004315497118120101,1.0705523333415476e-16,3.211657000024643e-16,Model A,H_a
OOB_MulT,OOB_LinMulT,R^2,0.0010375375805518536,-0.005790172787874298,0.007715946980293098,7.219558896119245e-192,2.1658676688357736e-191,Model A,H_a
WFR_MulT,WFR_LinMulT,R_acc,0.009314527207261978,0.0018421048309744338,0.01663876185041016,0.0,0.0,Model A,H_a
WFR_MulT,WFR_LinMulT,R^2,-0.004611236900533533,-0.013446099253651632,0.00423330842348097,0.0,0.0,Model B,H_a
OOWFR_MulT,OOWFR_LinMulT,R_acc,-0.01083759483857165,-0.0213588943987531,-0.00042997621738470203,0.0,0.0,Model B,H_a
OOWFR_MulT,OOWFR_LinMulT,R^2,-0.001847921407706616,-0.01736276777949875,0.013843814884652325,2.5582030013222633e-117,7.67460900396679e-117,Model B,H_a
