epoch,step,train_loss,train_r2,train_racc,valid_loss,valid_r2,valid_racc
0,9,0.9088617272961708,,0.6382085010409355,,,
0,19,0.5272691233870381,,0.7602542638778687,,,
0,29,0.37524491399882964,,0.7994949078808228,,,
0,39,0.3599314464214729,,0.8117452984054883,,,
0,49,0.33887768877441754,,0.7956733331084251,,,
0,59,0.2772352005886033,,0.8345058063666027,,,
0,69,0.16741922922674557,,0.8817763601740202,,,
0,79,0.2560280291087282,,0.8399470634758472,,,
0,89,0.15368807349997873,,0.8867492846523721,,,
0,99,0.222367747886408,,0.8561770059168339,,,
0,109,0.09786169500522732,,0.9259520545601845,,,
0,119,0.2504486704359124,,0.8363603875041008,,,
0,129,0.31058104431877087,,0.8164141836265723,,,
0,139,0.2245050224599215,,0.8624154242376486,,,
0,149,0.1096378767909362,,0.9254581009348233,,,
0,159,0.23888694024917906,,0.8570163610080879,,,
0,169,0.18292913661578003,,0.8903935700654984,,,
0,179,0.2974572967358292,,0.8362743804852167,,,
0,189,0.22037317364506212,,0.8504472821950912,,,
0,199,0.13528214922467288,,0.9052829903860887,,,
0,209,0.209074631866706,,0.8622127957642078,,,
0,219,0.1692427056633916,,0.8883640145262082,,,
0,229,0.17853614645093613,,0.8808994181454182,,,
0,239,0.1906396674944293,,0.8738169694940249,,,
0,249,0.16613199578536453,,0.8859259188175201,,,
0,259,0.3162046367653307,,0.8362519827981789,,,
0,269,0.2820319287335404,,0.8360549975186586,,,
0,279,0.146138032346515,,0.9003160782158375,,,
0,289,0.1255392206999112,,0.9121459076801935,,,
0,299,0.2677903687325906,,0.8364894402523836,,,
0,309,0.3508099595060176,,0.8070505733291309,,,
0,319,0.15876410409810035,,0.8880232237279415,,,
0,329,0.24355877244354596,,0.8444367262224357,,,
0,339,0.11353407119960046,,0.9148575067520142,,,
0,349,0.24529137446977106,,0.8523503268758456,,,
0,359,0.14175993496753428,,0.9087426004310449,,,
0,369,0.19135140594009115,,0.8742752199371655,,,
0,379,0.1594236115054014,,0.8843364442388216,,,
0,389,0.1676320817090508,,0.884264794488748,,,
0,399,0.4519720650127168,,0.7795031319061915,,,
0,409,0.214110248571862,,0.8590785500903924,,,
0,419,0.14944450756076327,,0.904401329656442,,,
0,429,0.13281551708107564,,0.9065320007503033,,,
0,439,0.15135141738600946,,0.891354214400053,,,
0,449,0.14554388032095028,,0.9081324425836405,,,
0,459,0.17242890426620777,,0.8829754889011383,,,
0,469,0.2519409489372437,,0.8499880557258923,,,
0,479,0.18991138817748648,,0.874948687851429,,,
0,489,0.07650494814993486,,0.9418748033543428,,,
0,499,0.12801926617335418,,0.9044218758742014,,,
0,509,0.35319553397166914,,0.8014329527504742,,,
0,519,0.14615417489837387,,0.8904424769183,,,
0,529,0.3153064431283124,,0.8219514812032381,,,
0,539,0.1719556529807492,,0.8850538643697898,,,
0,549,0.20980874872072422,,0.8641846949855486,,,
0,559,0.10208708195914358,,0.9237088561058044,,,
0,569,0.12048984986935204,,0.9141069625814756,,,
0,579,0.08344629924127203,,0.9367857960363228,,,
0,589,0.17768838458385194,,0.8775589099774759,,,
0,599,0.18878967290799276,,0.8780616869529089,,,
0,609,0.14357898987622736,,0.9093903452157974,,,
0,619,0.177247456033929,,0.8795661901434263,,,
0,629,0.1486762140062231,,0.8978525487085184,,,
0,639,0.13495619912754445,,0.899721891929706,,,
0,649,0.09742268974237608,,0.9232185184955597,,,
0,659,0.16340935124956302,,0.8876441145936649,,,
0,669,0.14735006729731104,,0.8954253283639748,,,
0,679,0.16926757533686426,,0.890964325517416,,,
